TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
877.81,1,20,2,22.0,3,150.0,1.0,399.0,0
255.26,0,37,1,45.0,0,50.0,1.0,14815.87,1
124.76,1,39,1,49.0,1,45.0,1.0,5764.72,1
78.13,1,25,1,26.0,3,145.0,1.0,900.6099999999997,0
649.28,1,38,0,75.0,2,137.0,1.0,4875.86,1
795.31,1,23,0,66.0,0,90.0,2.0,7914.88,0
335.63,1,28,2,55.0,2,216.0,1.0,1019.39,1
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,1
34.01999999999998,1,30,2,38.0,0,19.0,1.0,14214.48,1
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,2
55.31999999999999,1,40,0,19.0,3,117.0,1.0,241.79,1
304.31,1,21,1,27.0,3,33.0,1.0,868.6099999999997,0
435.27,1,6,1,74.0,2,90.0,1.0,4673.28,2
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,2
510.24,1,28,2,19.0,3,105.0,1.0,781.6999999999998,1
626.9,1,10,2,26.0,3,138.0,1.0,265.5100000000002,2
22.00999999999999,0,34,2,41.0,1,175.0,1.0,1335.09,1
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,0
424.56,1,29,2,51.0,1,264.0,1.0,5183.85,1
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,1
169.5,1,36,1,28.0,3,142.0,1.0,918.88,1
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,1
316.95,1,23,1,25.0,3,83.0,1.0,1324.0299999999995,0
60.53999999999999,0,8,1,57.0,2,52.0,1.0,3534.93,2
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,2
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,0
112.07,1,18,1,23.0,3,51.0,1.0,930.3000000000002,0
568.52,1,16,0,46.0,1,152.0,1.0,5499.91,0
263.99,1,9,1,79.0,2,227.0,2.0,4175.02,2
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,0
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,1
5.769999999999982,1,5,2,50.0,0,124.0,1.0,13988.12,2
201.33,0,26,1,42.0,1,186.0,1.0,2585.07,0
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,0
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,2
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,2
189.12,0,16,1,32.0,1,103.0,1.0,977.0100000000002,0
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,2
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,2
24.769999999999985,1,4,0,62.0,2,55.0,1.0,5866.01,2
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,0
1212.51,1,16,1,20.0,3,24.0,1.0,605.9499999999998,0
232.12,1,29,0,37.0,1,51.0,1.0,6689.87,1
162.63,1,18,2,22.0,3,113.0,1.0,634.1700000000001,0
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,0
120.29000000000002,1,24,1,19.0,3,77.0,1.0,1362.3900000000003,0
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,1
183.71,1,10,0,38.0,1,102.0,1.0,552.5200000000004,2
345.39,0,31,2,58.0,1,80.0,1.0,6451.96,1
922.55,1,11,0,63.0,2,87.0,1.0,4715.84,2
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,2
154.71,1,36,2,34.0,0,157.0,1.0,1523.7200000000005,1
1340.19,0,2,2,54.0,1,30.0,1.0,8654.28,2
24.56,1,23,1,64.0,0,69.0,1.0,9869.93,0
568.07,1,42,0,48.0,0,115.0,1.0,10556.81,1
9.610000000000014,0,36,2,58.0,0,179.0,1.0,12883.91,1
392.96,1,18,2,24.0,3,100.0,1.0,791.6499999999996,0
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,0
223.85,1,18,0,53.0,1,55.0,4.0,2929.91,0
230.66,1,15,1,21.0,3,135.0,1.0,618.0500000000002,0
442.12,1,20,2,19.0,3,260.0,1.0,1375.8000000000002,0
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,1
508.68,0,23,1,51.0,1,127.0,1.0,7708.41,0
858.6300000000001,0,37,1,27.0,3,185.0,1.0,1872.96,1
25.360000000000014,1,21,0,57.0,1,78.0,1.0,201.04,0
147.62,1,5,1,71.0,2,133.0,1.0,2115.8,2
115.01999999999998,1,35,1,37.0,0,175.0,1.0,7643.66,1
383.37,1,13,1,30.0,1,24.0,1.0,8901.93,2
98.54000000000002,0,12,2,20.0,3,167.0,1.0,9383.43,2
83.24000000000001,0,13,1,55.0,0,164.0,1.0,1181.31,2
196.16,1,41,1,27.0,1,146.0,1.0,9418.86,1
129.94,1,19,0,32.0,1,235.0,1.0,7954.92,0
306.9,1,7,2,46.0,1,51.0,1.0,9418.08,2
114.98000000000002,1,39,2,59.0,2,80.0,1.0,6144.68,1
756.59,1,34,1,27.0,3,17.0,1.0,420.6499999999997,1
503.76,1,20,2,22.0,3,35.0,1.0,447.8199999999997,0
143.03,1,35,0,63.0,2,147.0,1.0,7981.45,1
1045.22,1,8,0,53.0,2,73.0,1.0,1829.9,2
245.54,1,27,0,25.0,3,180.0,1.0,985.0599999999996,0
254.37,0,9,2,51.0,1,174.0,1.0,8849.26,2
213.76,0,9,0,78.0,2,282.0,1.0,3528.72,2
327.86,1,14,2,40.0,1,104.0,1.0,480.1599999999999,0
2.5,1,36,2,47.0,0,107.0,1.0,12145.27,1
300.08,0,2,2,68.0,0,47.0,1.0,13546.75,2
56.97999999999999,0,28,0,43.0,1,122.0,2.0,5688.37,1
407.65,1,4,2,26.0,1,62.0,1.0,8346.64,2
115.82999999999996,1,14,1,39.0,1,167.0,1.0,6481.04,0
53.56999999999999,1,15,0,69.0,2,121.0,1.0,1651.33,0
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,2
317.87,1,11,2,27.0,3,91.0,1.0,145.5,2
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,1
5.0400000000000205,1,42,0,56.0,2,41.0,1.0,5558.36,1
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,2
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,1
841.28,1,40,2,26.0,3,80.0,1.0,1103.6400000000008,1
38.14999999999998,1,23,2,26.0,3,108.0,1.0,303.6800000000003,0
1036.66,1,35,1,58.0,0,144.0,1.0,5541.57,1
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,1
302.45,0,35,1,78.0,2,40.000000000000014,1.0,5133.61,1
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,0
5.769999999999982,0,20,1,23.0,3,254.0,1.0,1117.9700000000005,0
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,2
16.160000000000025,1,25,0,50.0,0,124.0,1.0,14401.17,0
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,1
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,1
997.43,1,39,2,69.0,0,118.0,1.0,6810.05,1
234.57,1,6,2,23.0,3,120.0,1.0,263.9799999999996,2
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,2
1049.92,1,11,0,80.0,2,20.999999999999982,1.0,2037.85,2
227.14,1,5,0,18.0,3,294.0,1.0,341.9399999999996,2
233.74,0,28,2,66.0,2,17.0,1.0,1066.59,1
113.01999999999998,0,17,1,69.0,2,166.0,1.0,6077.96,0
45.85,1,20,0,20.0,3,92.0,1.0,1659.15,0
973.39,1,34,1,77.0,2,296.0,1.0,2042.2200000000005,1
514.95,1,27,2,41.0,0,142.0,5.0,421.9300000000003,0
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,0
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,1
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,1
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,2
267.9,1,35,2,20.0,3,160.0,1.0,596.1599999999999,1
496.03,1,37,1,61.0,0,265.0,1.0,12904.66,1
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,1
83.01999999999998,0,39,2,36.0,1,171.0,1.0,9009.56,1
93.26,0,27,2,20.0,3,72.0,1.0,1152.1999999999998,0
803.37,0,22,1,68.0,0,129.0,1.0,12168.37,0
35.75999999999999,1,5,1,23.0,3,122.0,1.0,611.8599999999997,2
28.53000000000003,1,42,2,62.0,0,99.0,1.0,8670.53,1
139.53,0,21,2,53.0,0,177.0,1.0,10098.86,0
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,2
60.650000000000006,0,40,1,56.0,2,53.0,1.0,1047.2799999999993,1
74.86000000000001,1,26,1,70.0,0,125.0,1.0,6921.48,0
117.97,1,18,1,51.0,2,137.0,1.0,1475.46,0
231.91,1,22,0,34.0,1,165.0,1.0,112.76000000000022,0
126.20999999999998,1,3,1,75.0,2,268.0,1.0,5669.66,2
506.28,0,6,2,53.0,2,162.0,2.0,1309.9499999999998,2
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,0
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,2
777.88,1,15,1,31.0,1,17.0,1.0,6825.55,0
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,0
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,2
260.88,1,10,1,22.0,3,36.0,1.0,903.0500000000002,2
169.47,1,6,2,24.0,3,19.0,1.0,1806.16,2
73.23000000000002,1,32,1,26.0,3,14.0,1.0,787.7399999999998,1
1362.55,1,12,0,29.0,1,106.0,1.0,2429.68,2
792.57,1,3,0,19.0,3,164.0,1.0,770.3699999999999,2
237.06,1,31,2,71.0,2,46.0,1.0,1182.7700000000004,1
34.170000000000016,0,30,2,54.0,1,54.0,1.0,726.5500000000002,1
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,1
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,2
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,0
110.92999999999998,0,41,1,19.0,3,201.0,1.0,1952.35,1
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,0
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,1
1041.88,1,17,2,78.0,2,57.0,1.0,5726.2,0
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,0
10.939999999999998,0,30,0,60.0,1,245.0,1.0,1241.9899999999998,1
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,0
1422.55,1,42,1,79.0,2,165.0,1.0,5674.32,1
226.37,0,21,1,49.0,0,141.0,1.0,9840.04,0
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,0
280.57,0,41,2,25.0,3,24.0,1.0,293.2399999999998,1
488.54,1,17,1,52.0,1,132.0,1.0,7486.63,0
3.300000000000012,0,20,1,50.0,0,131.0,1.0,11385.37,0
199.39,1,7,1,69.0,2,165.0,1.0,7264.79,2
20.360000000000014,1,40,1,62.0,2,75.0,1.0,2762.48,1
113.64,1,11,2,62.0,2,32.0,1.0,6675.03,2
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,2
307.41,1,20,0,19.0,3,14.0,1.0,1057.0000000000005,0
11.180000000000009,1,1,2,43.0,0,161.0,1.0,5956.89,2
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,1
51.0,1,39,1,64.0,2,107.0,1.0,4943.16,1
140.98,1,22,1,60.0,1,100.0,1.0,8127.48,0
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,2
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,1
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,0
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,0
321.79,0,33,0,63.0,2,61.0,1.0,5959.2,1
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,1
432.08,1,12,0,40.0,0,145.0,1.0,11500.62,2
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,0
116.86,1,21,0,55.0,1,171.0,1.0,6706.56,0
386.81,0,11,2,57.0,0,149.0,1.0,7175.29,2
74.88,1,1,0,25.0,3,202.0,1.0,420.6700000000001,2
195.76,1,30,1,75.0,2,99.0,1.0,7323.53,1
134.7,1,13,0,50.0,0,106.0,1.0,8395.85,2
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,0
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,1
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,2
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,0
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,2
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,1
506.24,1,6,0,58.0,1,64.0,1.0,230.09000000000012,2
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,0
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,1
581.65,1,4,0,22.0,3,176.0,1.0,480.1899999999996,2
52.00999999999999,1,23,0,48.0,0,85.0,1.0,1120.88,0
630.24,1,4,0,21.0,3,62.0,1.0,370.8100000000004,2
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,1
705.6,1,31,1,40.0,0,124.0,3.0,14804.7,1
217.5,0,10,1,46.0,1,35.0,1.0,3057.4,2
91.48000000000002,1,13,0,51.0,0,141.0,1.0,14942.78,2
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,1
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,0
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,0
368.91,1,41,1,54.0,0,14.0,1.0,829.71,1
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,2
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,0
177.08,1,19,2,35.0,0,85.0,1.0,13475.14,0
588.54,1,32,1,32.0,1,130.0,1.0,714.4499999999998,1
173.5,1,26,0,21.0,3,282.0,1.0,1306.91,0
78.32999999999996,0,22,2,56.0,1,189.0,1.0,7255.33,0
40.660000000000025,1,21,1,59.0,2,156.0,1.0,1153.8400000000006,0
97.22,0,1,1,77.0,2,55.0,1.0,6647.73,2
34.06999999999999,1,30,1,22.0,3,81.0,1.0,8709.77,1
492.06,1,14,2,23.0,3,74.0,1.0,857.8999999999996,0
842.01,0,41,2,53.0,0,185.0,1.0,509.4499999999998,1
73.55000000000001,1,1,0,51.0,1,158.0,1.0,2812.06,2
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,1
273.08,0,15,1,26.0,1,134.0,1.0,6609.3,0
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,1
218.96,1,39,0,18.0,3,13.000000000000014,1.0,754.21,1
227.39,1,1,2,18.0,3,65.0,1.0,751.0900000000001,2
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,0
186.6,1,42,2,58.0,0,13.000000000000014,1.0,1508.7200000000005,1
341.15,1,38,2,18.0,3,148.0,1.0,511.3699999999999,1
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,0
312.88,0,32,1,54.0,1,44.0,1.0,233.21000000000004,1
75.15,1,4,0,23.0,3,154.0,1.0,1092.92,2
23.30000000000001,1,20,0,59.0,1,161.0,1.0,6711.15,0
47.38,0,39,2,25.0,3,61.0,1.0,459.3699999999999,1
512.81,1,34,1,79.0,2,30.0,1.0,6994.34,1
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,0
12.819999999999991,1,13,0,44.0,1,156.0,1.0,9045.19,2
66.9,0,5,2,79.0,2,129.0,4.0,5238.71,2
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,0
270.72,0,42,2,26.0,1,53.0,1.0,6263.96,1
97.98000000000002,1,10,1,72.0,2,18.0,1.0,7460.33,2
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,1
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,1
44.52000000000004,1,12,2,28.0,3,205.0,1.0,314.27999999999975,2
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,2
1176.28,0,18,0,54.0,1,174.0,5.0,323.6899999999996,0
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,0
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,2
345.22,1,14,1,69.0,2,253.0,1.0,4046.58,0
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,1
671.73,1,42,1,58.0,1,54.0,1.0,5211.88,1
255.04,1,39,0,45.0,1,152.0,1.0,6217.86,1
45.77000000000001,1,30,2,25.0,3,109.0,1.0,5978.12,1
329.69,0,35,2,26.0,3,66.0,1.0,1671.66,1
362.04,0,30,1,58.0,0,198.0,2.0,8421.88,1
11.920000000000016,1,36,1,53.0,0,52.0,1.0,14611.9,1
47.41999999999999,1,36,0,64.0,0,28.0,1.0,8253.52,1
35.99000000000001,1,24,1,63.0,2,129.0,1.0,4489.79,0
151.19,0,27,1,37.0,0,96.0,1.0,11903.82,0
242.62,0,37,2,22.0,3,234.0,1.0,483.0200000000005,1
48.72,1,41,1,21.0,3,17.0,1.0,816.0799999999999,1
43.46000000000001,1,4,0,25.0,3,80.0,1.0,578.0599999999995,2
1036.2099999999998,1,29,2,25.0,3,126.0,1.0,477.3000000000002,1
443.79,1,19,0,53.0,2,87.0,1.0,3133.8499999999995,0
365.14,1,9,2,68.0,2,57.0,1.0,5894.09,2
757.41,1,20,0,22.0,3,37.0,1.0,9532.42,0
20.54000000000002,1,13,1,51.0,1,72.0,1.0,5327.03,2
475.36,1,31,0,34.0,1,105.0,1.0,2000.6,1
34.74000000000001,1,37,0,56.0,2,24.0,1.0,6827.57,1
689.54,1,28,1,27.0,3,93.0,1.0,1633.7600000000002,1
211.18,1,42,0,73.0,2,90.0,1.0,4069.17,1
211.36,0,13,1,51.0,1,286.0,1.0,7943.47,2
744.41,0,15,2,39.0,1,107.0,1.0,8842.47,0
61.43000000000001,1,31,2,24.0,3,170.0,1.0,1882.77,1
167.44,1,23,1,37.0,0,82.0,1.0,12526.71,0
361.46,1,26,2,21.0,3,83.0,1.0,4737.84,0
378.85,1,41,1,78.0,2,126.0,1.0,2300.53,1
241.11,1,8,1,30.0,0,55.0,1.0,12385.05,2
131.93,0,13,1,31.0,1,13.000000000000014,1.0,4547.06,2
20.28000000000003,1,28,2,36.0,1,213.0,1.0,2047.83,1
415.88,1,36,1,70.0,0,170.0,1.0,10008.33,1
49.99000000000001,1,29,0,62.0,2,139.0,1.0,2299.64,1
1221.65,1,10,2,27.0,3,153.0,1.0,243.92000000000007,2
100.66,1,9,1,50.0,0,144.0,1.0,14473.33,2
485.54,1,21,2,19.0,3,148.0,1.0,1533.3199999999997,0
321.15,1,20,1,46.0,0,179.0,1.0,7005.05,0
711.3,1,38,1,21.0,3,51.0,1.0,955.3999999999996,1
12.230000000000018,1,15,0,42.0,1,139.0,1.0,7844.88,0
350.94,1,7,0,20.0,3,64.0,1.0,221.5600000000004,2
301.85,1,8,2,54.0,1,25.0,1.0,6586.19,2
29.33999999999997,1,21,2,65.0,2,30.0,1.0,3944.82,0
231.71,1,33,1,27.0,3,148.0,1.0,1127.98,1
179.43,1,28,0,58.0,2,244.0,1.0,2626.63,1
36.70999999999998,1,17,1,48.0,0,55.0,1.0,6459.38,0
138.12,0,20,1,53.0,0,281.0,1.0,1649.69,0
233.24,1,21,0,33.0,1,72.0,1.0,6939.23,0
609.14,1,40,0,39.0,1,177.0,1.0,9033.87,1
436.64,1,20,1,31.0,0,111.0,1.0,14365.18,0
870.4300000000001,1,20,1,29.0,0,55.0,1.0,10115.18,0
354.4,1,6,0,74.0,2,128.0,1.0,7358.65,2
22.629999999999995,1,18,2,53.0,1,112.0,1.0,4438.03,0
182.19,1,23,1,26.0,3,53.0,1.0,1176.1,0
126.81,1,30,1,26.0,1,290.0,1.0,5427.98,1
288.17,1,41,2,37.0,1,50.0,1.0,3653.11,1
118.76999999999995,1,1,1,55.0,1,123.0,1.0,2104.82,2
651.82,1,16,0,21.0,3,166.0,1.0,1802.77,0
66.65000000000003,1,11,0,37.0,1,33.0,1.0,3559.96,2
98.53,1,10,1,69.0,2,166.0,1.0,3564.8,2
138.94999999999996,1,42,2,71.0,2,30.0,1.0,6752.92,1
33.889999999999986,1,26,1,26.0,3,177.0,1.0,1444.75,0
23.70999999999998,1,1,1,58.0,0,164.0,1.0,10788.89,2
1830.0,1,35,2,55.0,1,238.0,1.0,2235.7,1
26.06,1,36,0,65.0,0,283.0,1.0,12893.63,1
17.069999999999993,1,20,1,27.0,1,44.0,1.0,2798.15,0
703.89,1,35,2,46.0,1,62.0,1.0,3583.67,1
1271.9,1,15,0,47.0,1,155.0,1.0,2120.8,0
26.55000000000001,1,15,0,77.0,2,228.0,1.0,3085.38,0
147.4,1,38,1,42.0,1,259.0,1.0,6797.71,1
202.11,1,22,0,27.0,3,18.0,1.0,746.4700000000003,0
308.42,1,26,1,75.0,2,39.0,1.0,5427.81,0
11.180000000000009,1,24,0,53.0,1,144.0,1.0,7467.3,0
294.15,1,14,2,38.0,1,136.0,1.0,6362.16,0
29.579999999999984,1,7,1,54.0,1,121.0,1.0,8345.26,2
139.45,1,4,2,27.0,3,31.0,1.0,1305.7600000000002,2
432.63,1,7,0,29.0,0,137.0,1.0,13648.36,2
131.43,1,5,2,43.0,0,65.0,1.0,1337.5,2
516.72,1,23,0,42.0,1,128.0,1.0,2015.69,0
121.82,1,7,2,69.0,0,123.0,3.0,8354.54,2
374.5,0,37,1,26.0,3,178.0,1.0,1671.5100000000002,1
166.13,1,29,0,68.0,0,227.0,1.0,11822.53,1
626.9,1,6,0,23.0,3,146.0,1.0,587.1099999999997,2
466.85,1,2,1,56.0,2,165.0,1.0,5422.53,2
788.84,1,31,2,58.0,2,231.0,1.0,1913.73,1
873.6500000000001,0,28,2,37.0,0,59.0,1.0,12139.83,1
525.28,1,7,0,69.0,2,134.0,1.0,4693.6,2
110.17000000000002,1,33,0,30.0,1,137.0,1.0,464.1999999999998,1
632.69,1,10,0,80.0,2,76.0,1.0,4363.74,2
124.35,1,28,0,72.0,2,90.0,1.0,3319.76,1
43.85,1,14,0,62.0,2,122.0,1.0,4356.98,0
283.81,1,36,1,28.0,3,29.0,1.0,1519.35,1
168.53,1,37,0,71.0,2,112.0,1.0,5962.58,1
218.59,0,10,1,40.0,1,123.0,1.0,6699.23,2
132.84,1,28,0,21.0,3,143.0,1.0,822.7299999999996,1
157.37,0,9,1,42.0,0,289.0,1.0,13964.31,2
144.77,1,0,2,20.0,3,159.0,1.0,867.3199999999997,2
643.22,1,1,0,64.0,0,93.0,1.0,1035.8599999999997,2
1392.54,1,12,1,41.0,0,297.0,1.0,13347.69,2
208.07,1,28,2,32.0,0,36.0,1.0,8478.9,1
94.3,1,31,1,57.0,0,57.0,1.0,11088.95,1
295.5,1,23,0,59.0,2,36.0,1.0,6280.66,0
30.230000000000015,1,2,0,44.0,0,99.0,1.0,481.1300000000001,2
112.05,0,31,0,26.0,3,159.0,1.0,1122.8799999999997,1
180.24,1,31,1,58.0,1,144.0,1.0,8431.23,1
13.70999999999998,0,10,2,38.0,1,148.0,1.0,8342.79,2
96.54000000000002,1,27,1,58.0,2,95.0,1.0,7182.22,0
79.35,1,20,2,67.0,2,70.0,1.0,1692.15,0
101.04000000000002,1,35,0,27.0,3,160.0,1.0,1695.5699999999997,1
74.42000000000002,1,12,2,49.0,1,68.0,1.0,6264.21,2
39.660000000000025,1,41,1,52.0,1,169.0,1.0,8497.34,1
99.36,1,39,0,40.0,0,46.0,1.0,1272.12,1
123.85,1,19,2,56.0,1,244.0,1.0,3959.62,0
426.93,1,29,0,19.0,3,248.0,1.0,476.1899999999996,1
133.73,0,38,2,25.0,3,123.0,1.0,1872.2200000000005,1
222.39,1,41,2,49.0,1,73.0,1.0,3117.39,1
215.94,0,41,2,22.0,3,140.0,1.0,1841.69,1
6.300000000000011,1,8,1,80.0,2,283.0,5.0,7697.68,2
826.23,1,7,0,29.0,0,209.0,1.0,7580.59,2
416.37,1,8,2,35.0,1,67.0,1.0,7936.91,2
131.46,1,5,1,67.0,2,258.0,1.0,6642.33,2
202.86,0,22,1,61.0,0,149.0,1.0,7642.25,0
268.39,1,24,0,26.0,3,171.0,1.0,136.73999999999978,0
194.85,1,17,2,23.0,3,130.0,4.0,319.84000000000015,0
137.35,0,34,2,40.0,0,220.0,1.0,12662.66,1
712.75,1,30,1,44.0,0,25.0,1.0,8126.06,1
353.82,1,25,0,42.0,0,143.0,1.0,705.75,0
507.25,1,42,1,73.0,2,143.0,1.0,5331.57,1
212.74,1,39,1,27.0,1,128.0,1.0,7645.47,1
364.42,1,7,0,51.0,1,146.0,1.0,8119.73,2
195.12,1,21,0,46.0,0,144.0,1.0,6101.15,0
230.61,1,33,1,80.0,2,204.0,1.0,2561.42,1
739.28,0,40,1,58.0,0,47.0,1.0,11905.64,1
390.35,0,29,0,64.0,0,61.0,1.0,7095.88,1
242.03,1,9,2,58.0,1,124.0,1.0,4382.73,2
242.39,0,35,0,18.0,3,271.0,1.0,1328.73,1
135.02999999999997,1,37,0,23.0,3,180.0,1.0,1278.0,1
83.5,1,9,1,61.0,2,91.0,5.0,1749.79,2
193.54,1,28,1,80.0,2,267.0,1.0,2929.51,1
617.36,1,18,1,29.0,1,61.0,1.0,8926.38,0
775.23,0,0,2,59.0,0,38.0,1.0,5977.59,2
266.57,1,12,0,72.0,2,100.0,1.0,7676.92,2
153.4,1,23,0,45.0,1,144.0,1.0,4657.7,0
946.94,1,5,1,53.0,2,251.0,1.0,5579.11,2
5.1200000000000045,1,27,1,34.0,1,90.0,1.0,3293.01,0
119.11,1,11,0,57.0,1,131.0,1.0,7998.25,2
1096.6999999999998,1,7,2,24.0,3,147.0,1.0,1093.8900000000003,2
